"","V1","V2"
"759","BCL2","MAPK1"
"760","BCL2","MEN1"
"761","BCL2","MGMT"
"762","BCL2","MYC"
"763","BCL2","NPM1"
"764","BCL2","PAX5"
"765","BCL2","PIM1"
"766","BCL2","PPM1D"
"767","BCL2","PPP6C"
"768","BCL2","PRKAR1A"
"769","BCL2","PTPN11"
"770","BCL2","RAC1"
"771","BCL2","RHEB"
"772","BCL2","RPL5"
"773","BCL2","SOX17"
"774","BCL2","TCF7L2"
"775","BCL2","TRAF3"
"776","BCL2","UNCX"
"777","BCL2","VHL"
"778","BCL2","ZCCHC12"
"779","BCL2L11","CBFB"
"780","BCL2L11","CD79B"
"781","BCL2L11","CDK4"
"782","BCL2L11","CDKN1B"
"783","BCL2L11","CDKN2C"
"784","BCL2L11","CEBPA"
"785","BCL2L11","CYLD"
"786","BCL2L11","CYSLTR2"
"787","BCL2L11","DAZAP1"
"788","BCL2L11","GNA11"
"789","BCL2L11","GNAQ"
"790","BCL2L11","H3F3C"
"791","BCL2L11","HLA-A"
"792","BCL2L11","IDH2"
"793","BCL2L11","LEMD2"
"794","BCL2L11","MAP2K1"
"795","BCL2L11","MAP2K4"
"796","BCL2L11","MAPK1"
"797","BCL2L11","MEN1"
"798","BCL2L11","MGMT"
"799","BCL2L11","MYC"
"800","BCL2L11","NPM1"
"801","BCL2L11","PAX5"
"802","BCL2L11","PIM1"
"803","BCL2L11","PPM1D"
"804","BCL2L11","PPP6C"
"805","BCL2L11","PRKAR1A"
"806","BCL2L11","PTPN11"
"807","BCL2L11","RAC1"
"808","BCL2L11","RHEB"
"809","BCL2L11","RPL5"
"810","BCL2L11","SOX17"
"811","BCL2L11","TCF7L2"
"812","BCL2L11","TRAF3"
"813","BCL2L11","UNCX"
"814","BCL2L11","VHL"
"815","BCL2L11","ZCCHC12"
"816","BCOR","CARD11"
"817","BCOR","CDH1"
"818","BCOR","CIC"
"819","BCOR","CTNNB1"
"820","BCOR","DNMT3A"
"821","BCOR","EEF2"
"822","BCOR","EGFR"
"823","BCOR","HGF"
"824","BCOR","JAK3"
"825","BCOR","KIF1A"
"826","BCOR","LATS1"
"827","BCOR","MSH2"
"828","BCOR","MUC6"
"829","BCOR","NIPBL"
"830","BCOR","NOTCH2"
"831","BCOR","PDS5B"
"832","BCOR","PIK3CG"
"833","BCOR","PTPRC"
"834","BCOR","RAD21"
"835","BCOR","RNF111"
"836","BCOR","SF1"
"837","BCOR","SIN3A"
"838","BCOR","TAF1"
"839","BCOR","TSC2"
"840","BCOR","TXNIP"
"841","BCOR","USP9X"
"842","BRAF","CASP8"
"843","BRAF","CDKN1A"
"844","BRAF","CTNNB1"
"845","BRAF","DACH1"
"846","BRAF","DDX3X"
"847","BRAF","EEF2"
"848","BRAF","EPAS1"
"849","BRAF","FGFR2"
"850","BRAF","FOXQ1"
"851","BRAF","GNA13"
"852","BRAF","HGF"
"853","BRAF","JAK3"
"854","BRAF","KIT"
"855","BRAF","MAP3K1"
"856","BRAF","MSH2"
"857","BRAF","MSH6"
"858","BRAF","NF2"
"859","BRAF","PCBP1"
"860","BRAF","PLCG1"
"861","BRAF","POLRMT"
"862","BRAF","PTEN"
"863","BRAF","SETBP1"
"864","BRAF","SF1"
"865","BRAF","SIN3A"
"866","BRAF","TAF1"
"867","BRAF","TBX3"
"868","BRAF","THRAP3"
"869","BRAF","ZC3H12A"
"870","BRAF","ZMYM3"
"871","BRAF","ZNF750"
"872","BRCA1","CDH1"
